"","x"
"aangezien",1
"aangifte",1
"aangiftes",1
"aangroei",2
"aanhouden",2
"aanhoudend",2
"aankoop",3
"aankoopbeleid",1
"aankopen",1
"aanleg",3
"aanleiding",5
"aanleunt",1
"aanmerking",1
"aanmoedigen",4
"aanmoediging",1
"aanpak",4
"aanpassen",4
"aanpassing",4
"aanpassingen",2
"aanreikt",1
"aanscherpen",1
"aanslag",1
"aansluiten",2
"aansluiting",4
"aanspraak",1
"aanspreekpunt",1
"aanspreken",1
"aansturen",1
"aantal",34
"aantasting",1
"aantrekkelijk",2
"aantrekkelijke",2
"aantrekkelijker",2
"aantrekkelijkheid",2
"aantrekken",2
"aantrekkingskracht",1
"aantrekt",1
"aanvaardbaar",1
"aanvaardbare",1
"aanvangsbegeleiding",1
"aanvangsdiagnostiek",2
"aanvullen",1
"aanvullend",2
"aanvullende",3
"aanvulling",2
"aanwakkert",1
"aanwenden",1
"aanwerving",1
"aanwervingspremies",1
"aanwezig",3
"aanwezige",3
"aanzet",1
"aanzetten",2
"aanzien",7
"aanzienlijk",1
"aanzienlijke",2
"aard",2
"aardappelbereidingen",1
"aarde",2
"abnormaal",1
"absolute",2
"absoluut",1
"absorptiecapaciteit",1
"abstracte",1
"academische",1
"accenten",1
"accijnzen",5
"accountant",1
"accreditatie",1
"achtergrond",1
"achterkleinkinderen",1
"achterpoortjes",1
"achterstandssituaties",1
"achteruitgang",2
"actie",1
"actief",3
"actieplan",3
"acties",2
"actieve",1
"activeren",3
"activerend",1
"activering",3
"activeringsbeleid",1
"activiteit",3
"activiteiten",8
"actor",2
"actoren",12
"actualiseren",1
"acute",7
"adaptor",1
"adem",1
"ademruimte",1
"adequaat",1
"administratie",5
"administratief",2
"administratieve",9
"adressenbestand",1
"advies",1
"adviezen",3
"afbouw",3
"afbouwen",1
"afbraak",3
"afbreuk",2
"afgebouwd",1
"afgelegd",1
"afgeleide",1
"afgelopen",6
"afgesloten",1
"afgesplitst",1
"afgesproken",1
"afgestemd",5
"afgewerkt",2
"afhandeling",1
"afhangt",1
"afhankelijk",2
"afhankelijkheid",2
"afkomstig",1
"afleveren",1
"afnam",1
"afname",2
"afnemen",1
"afregelt",1
"afruil",2
"afschaffing",1
"afschrijvingstabel",1
"afschrikken",1
"afspeelt",1
"afspraken",8
"afstand",3
"afstanden",1
"afstemmen",1
"afstemming",7
"aftrek",4
"aftrekken",1
"afvalstoffen",2
"afvalstoffenbeleid",1
"afwerken",1
"afwijkingen",1
"afwikkelingsmechanisme",1
"afwisselend",1
"afzetmarkt",1
"afzetmarkten",1
"afzonderlijk",1
"afzwakt",1
"agenda",1
"agentschap",7
"agglomeratie",1
"agressieve",1
"agrovoedingscluster",1
"agrovoedinsgcluster",1
"akkoorden",3
"alarmbel",1
"albertkanaal",3
"aldus",1
"alegro",1
"alertheid",1
"algemeen",3
"algemene",4
"alle",58
"alleen",19
"alleenstaande",2
"allemaal",1
"allen",1
"allen<U+2019>",1
"allicht",1
"allocatie",1
"allochtonen",1
"almaar",1
"alsook",1
"alternatief",3
"alternatieve",1
"alternatieven",3
"alterne",1
"alternerend",1
"alvorens",1
"ambitie",7
"ambities",1
"ambitieus",5
"ambtena",1
"ambtenaar",2
"ambtenaren",5
"ambtenarenpensioenen",2
"ambulante",3
"analogie",2
"anci<U+00EB>nniteit",1
"and",2
"ander",2
"anderen",3
"anders",4
"anderstalige",1
"angels",1
"annualisering",1
"anticrisisbeleid",2
"anticrisisstrategie",1
"antwerpen",8
"antwerpengent",1
"antwerpenranst",1
"antwerpse",1
"antwoord",5
"antwoorden",1
"apart",1
"aparte",4
"apparatuur",1
"applicaties",2
"arbeid",15
"arbeiders",1
"arbeidersbedienden",2
"arbeids",2
"arbeidsaanbod",2
"arbeidsattitudes",1
"arbeidsdeelname",1
"arbeidsduurreglementering",1
"arbeidsduurvermindering",1
"arbeidsgebonden",1
"arbeidshandicap",1
"arbeidsinkomen",1
"arbeidsintensieve",1
"arbeidskosten",1
"arbeidskrachten",2
"arbeidsleeftijd",1
"arbeidsmarkt",31
"arbeidsmarktbegeleiding",2
"arbeidsmarktbeleid",5
"arbeidsmarktgerichte",1
"arbeidsmobiliteit",2
"arbeidsomstandigheden",1
"arbeidsongeschiktheid",5
"arbeidsparticipatie",1
"arbeidsprestatie",1
"arbeidsprocessen",1
"arbeidsrecht",2
"arbeidsregimes",1
"arbeidstijd",1
"arbeidstijden",1
"arbeidsvervangende",1
"arbeidsvormen",2
"arbeidsvreugde",1
"architectuur",1
"argument",1
"argumenten",1
"arm",1
"armoede",17
"armoedebestrijding",1
"armoededrempel",1
"armoederisico",1
"art",3
"artistieke",3
"artsen",4
"asiel",4
"asociale",1
"aspect",1
"aspecten",1
"attestering",1
"attracties",1
"attractiever",1
"audiovisuele",1
"authentieke",1
"auto",1
"automatisch",5
"automatische",1
"autonomie",5
"avonturen",1
"avonturiers",1
"avontuur",1
"baaien",3
"baan",12
"baanbrekend",1
"baat",3
"back",1
"backsysteem",1
"bad",1
"balans",1
"ballet",1
"band",1
"bandbreedte",1
"bandbreedtes",1
"banen",4
"banenpact",10
"banenplan",7
"bank",2
"bankactiviteiten",1
"banken",8
"bankenunie",1
"bankenwet",4
"banketbakkerswerk",1
"bankfinanciering",1
"bankkredieten",2
"barometer",1
"barri<U+00E8>res",1
"based",2
"baseload",1
"baseren",1
"basis",25
"basisbijslag",1
"basiseducatie",1
"basiskinderbijslag",1
"basisondersteuningsbudget",1
"basisonderwijs",3
"basisprincipes",1
"basistegemoetkoming",1
"basisvereiste",1
"basisvoorziening",1
"bate",1
"baten",1
"bbp",7
"bbpindicatoren",1
"be<U+00EF>nvloedt",1
"be<U+201D>",1
"beantwoorden",2
"bebouwde",1
"becijferd",1
"bedding",1
"bedienden",1
"bedoeld",1
"bedoeling",1
"bedraagt",6
"bedrag",1
"bedragen",2
"bedrijf",4
"bedrijfsleiders",1
"bedrijfsleven",4
"bedrijfsmiddelen<U+2019>",1
"bedrijfsstage",1
"bedrijfstoeslag",1
"bedrijfsvoorheffing",1
"bedrijfswagen",1
"bedrijven",52
"bedrijventerreinen",1
"beduidend",1
"bedwang",1
"beeld",1
"begeeft",1
"begeleiden",2
"begeleidende",1
"begeleiding",19
"begeleidingstraject",1
"begeleidt",2
"begin",3
"beginnende",1
"begint",1
"begonnen",2
"begrensde",1
"begrepen",1
"begrijpt",3
"begrip",1
"begroting",15
"begrotingen",5
"begrotingsevenwicht",3
"begrotingstekort",1
"begrotingstraject",4
"begrotingswerk",1
"begunstigen",1
"behaald",1
"behalen",2
"behalve",4
"behandeling",6
"behandelingen",1
"behandelingstraject",1
"behandelt",1
"behartigd",1
"beheer",4
"beheerscontracten",1
"beheersen",5
"beheersing",2
"beheersovereenkomst",1
"beheersovereenkomsten",1
"beheersovereenkomstensamenwerkingsover",1
"beheersstructuren",1
"beheersstructuur",2
"beheren",1
"behoefte",11
"behoeftegericht",1
"behoeften",2
"behoorlijk",1
"behoort",2
"behoren",1
"behoud",2
"behouden",11
"behoudt",1
"behulp",2
"beide",5
"bejaarden",3
"bejegening",1
"bekendheid",1
"bekijken",2
"beklemtonen",1
"beklemtoond",1
"bekommernis",1
"belang",18
"belangen",2
"belangrijk",28
"belangrijke",26
"belangrijker",1
"belangrijkere",1
"belangrijkste",4
"belast",2
"belaste",1
"belasting",4
"belastingadministratie",1
"belastingautonomie",1
"belastingbetaler",3
"belastingen",13
"belastingfraude",2
"belastingkrediet",1
"belastingplichtige",2
"belastingplichtigen",1
"belastingsommen",1
"belastingstelsel",4
"belastingsysteem",3
"belastingvoordeel",3
"belastingvoordelen",2
"belastingvrij",2
"belegger",1
"beleggingsvormen",1
"beleid",44
"beleidsbenadering",1
"beleidsdaden",1
"beleidsdomeinen",2
"beleidsinstrument",1
"beleidsinstrumenten",1
"beleidskeuzes",2
"beleidsniveau",1
"beleidsniveaus",5
"beleidsruimte",2
"beleidsverantwoordelijken",1
"beleidsvisie",1
"belemmering",1
"belemmert",1
"beleven",1
"belevering",1
"beleving",1
"belgen",1
"belgi<U+00EB>",13
"belgische",6
"beloften",1
"belonen",1
"belooft",1
"beloond",1
"belrai",1
"bemiddelingsdiensten",1
"benaderd",1
"benadering",2
"benadrukken",3
"benadrukt",1
"benchmarken",1
"benoemen",1
"benutten",2
"beoogde",1
"beoogt",2
"beoordelen",1
"bepaald",2
"bepaalde",3
"bepaalt",3
"bepalen",6
"bepalend",2
"bepalender",1
"beperken",9
"beperking",4
"beperkingen",1
"beperkt",6
"beperkte",5
"beperktere",1
"bepleit",2
"bepleiten",2
"beraad",1
"bereiden",2
"bereik",1
"bereikbaar",3
"bereikbaarder",1
"bereikbaarheid",4
"bereiken",12
"bereikt",6
"berekenbaar",1
"berekend",1
"berekening",1
"berekent",1
"beroep",4
"beroepen",4
"beroepsactieve",1
"beroepsgerichte",1
"beroepsleven",1
"beroepsonderwijs",1
"beroepsopleidingen",1
"berust",1
"berusten",2
"bescheiden",1
"beschermen",1
"bescherming",48
"beschermt",2
"beschikbaar",7
"beschikbaarheid",11
"beschikbare",5
"beschikken",5
"beschikking",4
"beschikt",2
"beschouwd",1
"beschouwen",1
"beschreef",1
"besef",1
"beseffen",1
"beseining",1
"beslag",2
"beslissen",2
"beslissing",1
"beslissingen",1
"beslist",5
"besluiten",2
"besluitvorming",4
"bespaard",2
"besparen",2
"besparing",1
"besparingen",4
"besparingsijver",1
"besparingsplan",1
"bespoedigen",1
"bespreken",3
"best",4
"bestaan",3
"bestaande",20
"bestaansonzekerheid",1
"bestaat",3
"beste",5
"besteden",2
"bestedingen",1
"besteed",1
"bestemming",1
"bestraft",1
"bestrijden",6
"bestrijding",1
"bestuderen",1
"besturen",18
"bestuur",2
"bestuurders",1
"bestuurlijke",2
"bestuursmodellen",1
"bestuursniveaus",2
"bestuurspartij",1
"bestuurszaken",2
"betaalbaar",11
"betaalbaarheid",3
"betaalbare",11
"betaald",1
"betaalt",5
"betalen",3
"betaling",2
"betalingen",1
"betalingstermijn",1
"betalingsuitstel",1
"betekenen",3
"betekenis",1
"betekent",21
"beter",35
"betere",14
"betreffende",2
"betreft",1
"betrekken",1
"betrekking",5
"betrekkingen",1
"betrokken",5
"betrokkenheid",4
"betrouwbaar",2
"betrouwbare",4
"beurssysteem",1
"beurt",1
"bevalling",1
"bevat",5
"beveiliging",1
"beveren",1
"bevestigen",2
"bevinden",1
"bevoegd",3
"bevoegde",2
"bevoegdheden",17
"bevoegdheid",7
"bevoegdheidsdomeinen",1
"bevoegdheidsniveaus",1
"bevoegdheidsverdeling",2
"bevolking",8
"bevoorradingszekerheid",5
"bevorderen",5
"bevordering",1
"bevordert",3
"bevriezen",1
"bevroren",1
"beweging",4
"bewegwijzeringstaks",1
"bewerkstelligen",1
"bewezen",2
"bewijst",1
"bewust",2
"bezoek",1
"bezorgd",2
"bezorgdheden",1
"bfw",2
"bfw<U+201D>",1
"bibliotheek",1
"bieden",17
"biedt",13
"bier",1
"bijberoep",1
"bijbrengt",1
"bijdraagt",6
"bijdrage",3
"bijdragen",12
"bijdrageregeling",1
"bijdrages",1
"bijdragesystemen",1
"bijgedragen",1
"bijhouden",1
"bijkomend",1
"bijkomende",7
"bijna",5
"bijstaat",1
"bijstand",3
"bijsteken",1
"bijsturen",3
"bijsturing",1
"bijv",1
"bijvoorbeeld",23
"bijwerken",1
"bijzonder",16
"bijzondere",6
"bike",1
"billijk",1
"billijke",1
"bindend",1
"bindende",3
"bindmiddel",1
"binnen",11
"binnenland",1
"binnenlandse",1
"binnenuit",1
"binnenvaart",1
"bio",1
"biodiversiteitsgraad",1
"biogebaseerde",1
"biomassa",1
"biotechnologie",1
"biv",1
"bleef",1
"bleek",1
"blijft",20
"blijken",1
"blijkt",6
"blijven",31
"blijvend",1
"blijvende",2
"blinde",1
"blindelings",1
"bloei",2
"bloeiende",3
"blokken",1
"bod",1
"bodem",1
"boechout",1
"boeiende",1
"boeken",1
"boekhouddoeleinden",1
"boekhouder",1
"boekhoudkundige",1
"boerderijtoerisme",1
"boeten",1
"bomen",1
"bonafide",1
"bonds<U+2026>",1
"boodschap",2
"boren",1
"bos",2
"bottomup",1
"bouw",4
"bouwen",11
"bouwsteen",69
"bouwstenen",6
"bouwt",1
"boven",3
"bovenaan",2
"bovenal",2
"bovendien",9
"bovenhand",2
"bovenop",9
"bovenregionale",1
"brabant",2
"brabantnet",1
"brabo",3
"brandstof",2
"brandstoffen",1
"brandveilige",1
"brede",5
"breder",1
"breed",3
"brengen",14
"brengt",3
"breuk",1
"broeikasgassen",1
"bron",2
"bronnen",1
"broos",1
"broze",2
"brug",2
"bruggen",2
"brugpensioen",1
"brugse",2
"brussel",15
"brusselaars",2
"brussels",2
"brusselse",3
"brutolonen",1
"bruuske",1
"btw",6
"btwaangifte",1
"btwboetesysteem",1
"btwdoeleinden",1
"btwformaliteiten",2
"btwinkomsten",1
"btwmaterie",1
"btwontvangsten",2
"btwplichtige",1
"btwsysteem",4
"btwtarief",2
"btwver",1
"btwvrijstellingsdrempel",1
"budget",5
"budgetbevriezing",1
"budgetmassa",1
"budgettair",3
"budgettaire",1
"budgetten",2
"buiten",9
"buitengewoon",1
"buitenland",4
"buitenlandse",12
"buitenschoolse",2
"bundelen",3
"buren",1
"burgemeesters",1
"burgers",7
"bus",1
"business",1
"bussen",1
"buurlanden",7
"buurt",4
"buurtzorg",1
"caf<U+00E9>",1
"campings",1
"cao<U+2019>s",2
"capaciteit",3
"capaciteitsproblemen",1
"capaciteitsuitbreiding",1
"capita",1
"care",3
"carri<U+00E8>re",1
"carri<U+00E8>replanningsysteem",1
"carri<U+00E8>res",1
"carrouselfraude",1
"carry",3
"cash",1
"cdv",206
"cdvcongres",1
"cdvmodel",1
"centra",3
"centraal",4
"centrale",5
"centrales",1
"centrum",1
"centrumsteden",2
"cfr",1
"champions",2
"champions<U+2019>",1
"chemie",1
"chemische",1
"chocoladeproducten",1
"christendemocraten",2
"chronische",8
"cieringsmodellen",1
"cijferberoepen",1
"cijfers",3
"circuleren",1
"cirkel",1
"citymarketingverhaal",1
"clausules",1
"clb",1
"cli<U+00EB>nten",1
"clilpilootprojecten",1
"cluster",6
"clusterbeleid",3
"clusterroadmaps",1
"clusters",8
"clustervorming",1
"co<U+00F6>rdinatie",1
"co<U+00F6>rdinatiecentra",1
"coaching",2
"codex",1
"codoelstellingen",1
"cofinanciering",2
"cognitieve",2
"coherent",3
"cohousing",2
"cohousingprojecten",1
"cokosten",1
"collectieve",1
"combinatie",6
"combineren",4
"comfort",1
"comfortabele",1
"comite",1
"commerci<U+00EB>le",1
"commissie",7
"communicatie",4
"communiceren",3
"communicerende",2
"community",1
"compacte",1
"compatibele",1
"compensaties",1
"compenseren",1
"competentiemanagement",1
"competentieontwikkeling",2
"competenties",10
"competitief",5
"competitieve",2
"competitiviteit",12
"compleet",2
"complementair",2
"complementaire",1
"complexe",6
"complicaties",1
"component",1
"componenten",1
"concentratie",1
"concept",1
"concepten",2
"concludeerde",1
"concrete",5
"concurrenten",1
"concurrentie",7
"concurrentiekracht",9
"concurrentiepact",10
"concurrentiepositie",4
"concurrentievermogen",1
"concurrerende",1
"confederaal",2
"confederalisme",1
"conform",1
"congrestoerisme",1
"constant",5
"constante",1
"constructief",2
"consulenten",3
"consultatiebureaus",1
"consultaties",1
"consulteren",1
"consument",5
"consumenten",1
"consumptie",1
"consumptiegedrag",1
"consumptiegoederen",1
"consumptiesysteem",1
"contacten",1
"content",1
"context",1
"contextgericht",1
"continu<U+00EF>teit",3
"continu<U+00FC>m",2
"continue",1
"contracten",1
"contractuele",1
"controle",2
"controlemodule",1
"controleprocedures",1
"controles",2
"conventionele",1
"convergentie",2
"copernicaanse",4
"corebusiness",1
"correct",2
"correcte",2
"correctie",1
"correcties",3
"corrigerende",1
"coteaching",1
"couitstoot",2
"cps",1
"cre<U+00EB>ert",3
"cre<U+00EB>ren",10
"creatie",1
"creatieve",3
"creativiteit",4
"criminele",1
"crisis",13
"crisisbestendig",1
"crisisjaren",3
"crisissen",1
"criteria",1
"crowd",1
"crowdfunding",6
"crowdfundingplatformen",1
"cruciaal",11
"cruciale",5
"culturele",6
"cultuur",14
"cultuurbeleid",1
"cultuurtempel",1
"cumuls",1
"curricula",1
"curriculum",1
"cybersecurity",1
"d<U+00E9>",2
"daadwerkelijk",1
"daalden",1
"daarbij",11
"daarbovenop",1
"daarbuiten",1
"daardoor",4
"daarenboven",1
"daarin",7
"daarmee",5
"daarna",2
"daarnaast",17
"daarom",30
"daarop",1
"daartegenover",1
"daartoe",1
"daarvan",2
"daarvoor",7
"dag",3
"dagelijkse",1
"dagen",6
"dakisolatie",1
"dalen",1
"daling",7
"damme",1
"dammepoortsluis",1
"dank",1
"danken",1
"dankzij",7
"das",1
"data",6
"data<U+2019>",1
"databank",2
"datamining",1
"dateert",1
"dbistelsel",1
"death<U+2019>",1
"debat",1
"debatten",1
"deblokkeren",1
"december",1
"decennia",1
"decoster",1
"decreet",5
"decretale",1
"deel",22
"deelauto<U+2019>s",1
"deelfietsen",1
"deelname",1
"deelnemen",2
"deelnemer",1
"deelneming",1
"deelspecialiteiten",1
"deelstaatniveau",1
"deelstaatregeringen",2
"deelstaten",12
"deeltijds",8
"deeltijdse",1
"defensie",1
"defici<U+00EB>ntiedenken",1
"defini<U+00EB>ren",1
"definieert",1
"definitie",2
"definitieve",2
"degene",1
"degressiviteit",1
"delen",3
"deloyale",1
"democratische",1
"demografische",1
"den",1
"dender",1
"denderleeuw",1
"dendermondeaalst",1
"denk",1
"denken",2
"depositobescherming",1
"derde",5
"deregulering",1
"dergelijke",7
"desgewenst",1
"desinstitutionalisering",1
"deskundigheid",1
"detail",1
"detailhandel",1
"detecteren",1
"detentiecentra",1
"deur",6
"deurganckdoksluis",1
"deurne",1
"deurtotdeuroplossingen",1
"dezelfde",6
"diagnose",2
"diagnoses",1
"dialoog",1
"dicht",1
"dichtbebouwd",1
"dichtbevolkt",1
"dichte",1
"dichten",1
"dichtst",1
"dichtste",1
"didactische",2
"diensten",9
"dienstenaanbod",2
"dienstencheque",1
"dienstencheques",5
"diensteneconomie",1
"dienstenintegratoren",1
"dienstverlenende",2
"dienstverlening",8
"dienstverplaatsingen",1
"diepvriesgroenten",1
"dierbaren",1
"dierenwelzijn",1
"dierlijke",1
"diezelfde",2
"differentiatie",1
"dige",1
"digitaal",1
"digitale",3
"dikwijls",1
"dimensie",2
"dimensies",2
"dingen",2
"diploma",2
"diplomaten",1
"diplomatie",1
"direct",1
"directe",1
"directie",2
"directies",3
"discriminatie",1
"discussies",3
"discussion",1
"distributie",1
"distributiecentra",1
"diverse",1
"diversifi<U+00EB>ren",1
"diversiteit",3
"diversiteitsplannen",1
"dna",2
"doden",1
"doe",1
"doel",12
"doelen",1
"doelgericht",3
"doelgerichtheid",1
"doelgroep",4
"doelgroepen",3
"doelgroepenbeleid",3
"doelgroepgerichte",1
"doelmatigheid",1
"doelstelling",5
"doelstellingen",7
"doeltreffend",3
"doet",12
"domeinen",3
"dominante",2
"doodlopende",1
"doorbraken",1
"doorbreken",1
"doordacht",2
"doordat",4
"doorgaand",1
"doorgaans",2
"doorgedreven",3
"doorgeschoven",1
"doorgeven",1
"doorgevoerd",1
"doorgroeien",1
"doorheen",4
"doorloopt",1
"doorrekenen",1
"doorschuiven",2
"doorslaat",1
"doorslaggevend",2
"doorstaan",1
"doorstroming",1
"doorstroom",1
"doorstroomkansen",1
"doortastend",2
"doortocht",2
"doortrekkingen",1
"doorverwijzen",1
"doorverwijzing",1
"doorvoeren",3
"doorwrochte",1
"dossier",4
"dossiers",1
"dossin",1
"dplan",4
"draad",2
"draagkracht",5
"draagt",6
"draagvlak",3
"draaischijf",1
"draaischrijf",1
"dragen",9
"dreig",1
"dreigen",1
"drempel",1
"drempels",8
"drie",11
"driehoek",1
"drijfveren",1
"dringend",1
"dringt",1
"drinkwaterwinning",1
"druk",2
"dsp",1
"duaal",1
"dubbel",1
"dubbelbelastingverdragen",1
"dubbele",1
"duidelijk",12
"duidelijke",6
"duidelijker",1
"duidelijkheid",4
"duiden",1
"duitse",2
"duitsland",1
"duizenden",1
"dumping",1
"duur",3
"duurder",1
"duurtijd",1
"duurzaam",20
"duurzaamheid",9
"duurzame",31
"duurzamer",1
"duurzamere",1
"dvm",2
"dynamiek",6
"dynamisch",7
"dynamiseren",1
"eandis",1
"early",1
"ecb",1
"echt",2
"echte",2
"echter",4
"echtscheiding",1
"ecofiscaliteit",3
"ecologie",2
"ecologisch",2
"ecologische",5
"economen",1
"economie",39
"economie<U+00EB>n",1
"economisch",12
"economische",129
"eeklo",2
"eenduidig",1
"eenduidige",1
"eengemaakte",1
"eenheidsdosissen",1
"eenkomsten",1
"eenmalige",1
"eenoudergezinnen",1
"eenvormige",3
"eenvoudig",3
"eenvoudige",1
"eenvoudiger",6
"eenzelfde",1
"eer",1
"eerder",2
"eerdere",1
"eerlijk",2
"eerst",2
"eerste",22
"eerstelijnszorg",4
"eetcultuur",1
"eeuw",3
"effect",1
"effecten",3
"effectief",3
"effectieve",1
"effici<U+00EB>nt",9
"effici<U+00EB>nte",14
"effici<U+00EB>nter",3
"effici<U+00EB>ntie",4
"effici<U+00EB>ntiewinsten",1
"egovernment",2
"ehealth",1
"eid",1
"eig",1
"eigen",18
"eigendom",1
"eigendomsverwerving",1
"eigentijdse",1
"eind",8
"einde",1
"eindigen",1
"eindpunt",1
"eindtermen",2
"eindverbruikers",1
"eisen",1
"elan",1
"elders",2
"elektriciteit",5
"elektriciteitsinfrastructuur",1
"elektriciteitskosten",1
"elektriciteitsnetwerk",1
"elektriciteitsprijs",1
"elektriciteitsproductie",1
"elektronisch",2
"elektronische",3
"element",1
"elementaire",1
"elementen",3
"elk",15
"elkaar",22
"elke",19
"ellenlange",1
"elsene",1
"emancipatie",1
"emoties",1
"empowerment",2
"empowerment<U+2019>",1
"enabling",1
"ene",1
"energie",41
"energiealternatieven",1
"energiebelastingen",1
"energiebelastingrichtlijn",1
"energiebeleid",2
"energiebesparende",2
"energiebesparing",1
"energiebesparingsmaatregelen",1
"energiebevoorrading",1
"energiebronnen",1
"energiediensten",1
"energieeffici<U+00EB>nte",1
"energieeffici<U+00EB>ntie",5
"energiefactuur",2
"energiegebonden",1
"energieintensieve",3
"energiekosten",3
"energielandschap",1
"energiemarkt",1
"energiemix",1
"energienetwerken",1
"energienorm",4
"energiepact",3
"energiepakket",2
"energiepremie",1
"energieproductie",3
"energietechnologie<U+00EB>n",1
"energieverbruik",1
"energiezekerheid",1
"energiezuinig",1
"energiezuinige",1
"energy",1
"engagement",6
"engineering",1
"enig",1
"enige",4
"enkel",14
"enkele",3
"enof",2
"enorme",2
"ensembles",1
"enveloppe",3
"enz",3
"enzovoort",3
"eprocurement",1
"erbuiten",1
"erdoor",1
"erfenis",1
"erg",3
"ergens",1
"ergste",1
"erkend",2
"erkende",2
"erkennen",1
"erkenning",3
"erkennings",1
"ernaar",1
"ernstig",1
"erop",1
"ertoe",3
"ervan",7
"ervaren",2
"ervaring",4
"ervaringen",1
"ervoor",4
"esociety",1
"essenti<U+00EB>le",2
"essentie",2
"essentieel",6
"etnischculturele",1
"eu<U+2019>",2
"euro",45
"euro<U+2019>s",1
"europa",16
"europees",6
"europese",38
"eurostat",1
"eurozone",3
"evaluatie",5
"evalueren",6
"even",2
"eveneens",3
"eventueel",1
"eventuele",1
"evenwicht",4
"evenwichten",1
"evenwichtiger",1
"evenzeer",1
"evere",1
"evidence",2
"evolueert",2
"evolueren",7
"evoluerende",1
"evolutie",8
"evoluties",5
"excellente",1
"exclusief",1
"executie",1
"expertise",4
"exploitatie",1
"exploitatiesteun",1
"export",5
"exportcijfer",1
"exporteert",1
"exporteren",1
"exporteurs",3
"exportkansen",1
"exportmarktaandeel",1
"exportmarkten",1
"exportmogelijkheden",1
"exportverzekering",1
"expresweg",1
"externe",3
"extra",15
"extralegale",1
"extreme",1
"fabricagesystemen",1
"facetten",1
"faciliteren",2
"factor",1
"factuur",1
"faillissementen",1
"faillissementspreventie",1
"familiale",1
"familie",1
"familiehotels",1
"families",1
"fase",3
"favv",1
"fcudmiddelen",1
"federa",1
"federaal",14
"federale",51
"federaleconfederale",1
"feit",6
"fel",1
"fenomenen",1
"fier",1
"fiets",7
"fietsbruggen",1
"fietsen",1
"fietsgen",3
"fietsinfrastructuur",1
"fietsinvesteringen",1
"fietsknooppunten",1
"fietsnetwerk",1
"fietspaden",2
"fietsroutenetwerk",2
"fietsstallingen",1
"fietstunnels",1
"fijn",1
"finaal",1
"finan",1
"financi<U+00EB>le",17
"financi<U+00EB>n",5
"financieel",7
"financieeleconomische",2
"financieren",5
"financiering",26
"financieringen",1
"financieringsdossiers",1
"financieringsinstrumenten",2
"financieringsmechanisme",1
"financieringsmodellen",2
"financieringsmogelijkheden",1
"financieringsvennootschappen",1
"financieringswet",2
"financiers",2
"finland",1
"first",1
"fiscaal",6
"fiscale",33
"fiscaliteit",29
"fisch",1
"fiscus",1
"flanders",9
"flanders<U+2019>",1
"flank",4
"flankerend",2
"flemosi",1
"flexibele",10
"flexibiliteit",4
"fluctuerend",1
"fnuiken",1
"focus",2
"focussen",1
"focusstrategie",1
"fonds",1
"fondsen",1
"food",2
"forfaitaire",1
"forfaitiseren",1
"forfaits",1
"formaliteiten",1
"formules",2
"formulieren",2
"forse",1
"forward",1
"forwardsysteem<U+2019>",1
"fossiele",1
